P( CalcPrior ) = 0.25
P( CalcPrior ) = 0.25
P( CalcPrior ) = 0.25
P( CalcPrior ) = 0.25
P( knicked | Deceptive Negative) = 3.89749585891e-05
P( thats | Truthful Negative) = 5.79452610434e-05
P( thats | Truthful Positive) = 7.8986861852e-05
P( finagling | Deceptive Negative) = 3.89749585891e-05
P( finagling | Deceptive Positive) = 2.87471971483e-05
P( finagling | Truthful Negative) = 1.93150870145e-05
P( finagling | Truthful Positive) = 2.63289539507e-05
P( neiman | Deceptive Negative) = 1.94874792946e-05
P( neiman | Deceptive Positive) = 2.87471971483e-05
P( neiman | Truthful Negative) = 3.86301740289e-05
P( neiman | Truthful Positive) = 5.26579079013e-05
P( outcomes | Deceptive Negative) = 1.94874792946e-05
P( outcomes | Deceptive Positive) = 2.87471971483e-05
P( outcomes | Truthful Negative) = 3.86301740289e-05
P( outcomes | Truthful Positive) = 2.63289539507e-05
P( tools | Deceptive Negative) = 1.94874792946e-05
P( tools | Deceptive Positive) = 5.74943942966e-05
P( tools | Truthful Negative) = 3.86301740289e-05
P( tools | Truthful Positive) = 2.63289539507e-05
P( wildberry | Deceptive Negative) = 1.94874792946e-05
P( wildberry | Deceptive Positive) = 2.87471971483e-05
P( wildberry | Truthful Negative) = 3.86301740289e-05
P( wildberry | Truthful Positive) = 2.63289539507e-05
P( standing | Deceptive Negative) = 3.89749585891e-05
P( standing | Deceptive Positive) = 2.87471971483e-05
P( standing | Truthful Negative) = 9.65754350723e-05
P( standing | Truthful Positive) = 2.63289539507e-05
P( confidence | Deceptive Negative) = 3.89749585891e-05
P( confidence | Deceptive Positive) = 2.87471971483e-05
P( confidence | Truthful Negative) = 1.93150870145e-05
P( confidence | Truthful Positive) = 2.63289539507e-05
P( chicago,illinois | Deceptive Negative) = 3.89749585891e-05
P( chicago,illinois | Deceptive Positive) = 2.87471971483e-05
P( chicago,illinois | Truthful Negative) = 1.93150870145e-05
P( chicago,illinois | Truthful Positive) = 2.63289539507e-05
P( certificate | Deceptive Negative) = 1.94874792946e-05
P( certificate | Deceptive Positive) = 2.87471971483e-05
P( certificate | Truthful Negative) = 3.86301740289e-05
P( certificate | Truthful Positive) = 2.63289539507e-05
P( illegal | Deceptive Negative) = 1.94874792946e-05
P( illegal | Deceptive Positive) = 2.87471971483e-05
P( illegal | Truthful Negative) = 3.86301740289e-05
P( illegal | Truthful Positive) = 2.63289539507e-05
P( chocolates | Deceptive Negative) = 3.89749585891e-05
P( chocolates | Deceptive Positive) = 2.87471971483e-05
P( chocolates | Truthful Negative) = 1.93150870145e-05
P( chocolates | Truthful Positive) = 5.26579079013e-05
P( next | Deceptive Negative) = 0.00116924875767
P( next | Deceptive Positive) = 0.00140861266027
P( next | Truthful Negative) = 0.00110095995982
P( next | Truthful Positive) = 0.000974171296174
P( eleven | Deceptive Negative) = 1.94874792946e-05
P( eleven | Deceptive Positive) = 2.87471971483e-05
P( eleven | Truthful Negative) = 3.86301740289e-05
P( eleven | Truthful Positive) = 5.26579079013e-05
P( doubt | Deceptive Negative) = 0.000116924875767
P( doubt | Deceptive Positive) = 2.87471971483e-05
P( doubt | Truthful Negative) = 5.79452610434e-05
P( doubt | Truthful Positive) = 7.8986861852e-05
P( rollaway | Deceptive Negative) = 1.94874792946e-05
P( rollaway | Deceptive Positive) = 2.87471971483e-05
P( rollaway | Truthful Negative) = 9.65754350723e-05
P( rollaway | Truthful Positive) = 2.63289539507e-05
P( slim | Deceptive Negative) = 1.94874792946e-05
P( slim | Deceptive Positive) = 2.87471971483e-05
P( slim | Truthful Negative) = 3.86301740289e-05
P( slim | Truthful Positive) = 2.63289539507e-05
P( neo-classical | Deceptive Negative) = 3.89749585891e-05
P( neo-classical | Deceptive Positive) = 2.87471971483e-05
P( neo-classical | Truthful Negative) = 1.93150870145e-05
P( neo-classical | Truthful Positive) = 2.63289539507e-05
P( unplug | Deceptive Negative) = 1.94874792946e-05
P( unplug | Deceptive Positive) = 2.87471971483e-05
P( unplug | Truthful Negative) = 3.86301740289e-05
P( unplug | Truthful Positive) = 2.63289539507e-05
P( labelled | Deceptive Negative) = 1.94874792946e-05
P( labelled | Deceptive Positive) = 2.87471971483e-05
P( labelled | Truthful Negative) = 3.86301740289e-05
P( labelled | Truthful Positive) = 2.63289539507e-05
P( baby | Deceptive Negative) = 3.89749585891e-05
P( baby | Deceptive Positive) = 2.87471971483e-05
P( baby | Truthful Negative) = 1.93150870145e-05
P( baby | Truthful Positive) = 7.8986861852e-05
P( gladly | Deceptive Negative) = 1.94874792946e-05
P( gladly | Deceptive Positive) = 5.74943942966e-05
P( gladly | Truthful Negative) = 3.86301740289e-05
P( gladly | Truthful Positive) = 7.8986861852e-05
P( four-legged | Deceptive Negative) = 1.94874792946e-05
P( four-legged | Deceptive Positive) = 5.74943942966e-05
P( four-legged | Truthful Negative) = 1.93150870145e-05
P( four-legged | Truthful Positive) = 2.63289539507e-05
P( charity | Deceptive Negative) = 1.94874792946e-05
P( charity | Deceptive Positive) = 2.87471971483e-05
P( charity | Truthful Negative) = 3.86301740289e-05
P( charity | Truthful Positive) = 2.63289539507e-05
P( customer | Deceptive Negative) = 0.000584624378837
P( customer | Deceptive Positive) = 0.000459955154372
P( customer | Truthful Negative) = 0.000463562088347
P( customer | Truthful Positive) = 0.000210631631605
P( balls | Deceptive Negative) = 5.84624378837e-05
P( balls | Deceptive Positive) = 2.87471971483e-05
P( balls | Truthful Negative) = 1.93150870145e-05
P( balls | Truthful Positive) = 2.63289539507e-05
P( practicing | Deceptive Negative) = 3.89749585891e-05
P( practicing | Deceptive Positive) = 2.87471971483e-05
P( practicing | Truthful Negative) = 1.93150870145e-05
P( practicing | Truthful Positive) = 2.63289539507e-05
P( vaccuumed | Deceptive Negative) = 3.89749585891e-05
P( vaccuumed | Deceptive Positive) = 2.87471971483e-05
P( vaccuumed | Truthful Negative) = 1.93150870145e-05
P( vaccuumed | Truthful Positive) = 2.63289539507e-05
P( this | Deceptive Negative) = 0.00518366949235
P( this | Deceptive Positive) = 0.00638187776692
P( this | Truthful Negative) = 0.00681822571611
P( this | Truthful Positive) = 0.0060293304547
P( clients | Deceptive Negative) = 3.89749585891e-05
P( clients | Deceptive Positive) = 0.000114988788593
P( clients | Truthful Negative) = 1.93150870145e-05
P( clients | Truthful Positive) = 0.000105315815803
P( thin | Deceptive Negative) = 0.000155899834356
P( thin | Deceptive Positive) = 2.87471971483e-05
P( thin | Truthful Negative) = 0.000212465957159
P( thin | Truthful Positive) = 2.63289539507e-05
P( fulfill | Deceptive Negative) = 1.94874792946e-05
P( fulfill | Deceptive Positive) = 5.74943942966e-05
P( fulfill | Truthful Negative) = 3.86301740289e-05
P( fulfill | Truthful Positive) = 2.63289539507e-05
P( nasal-voiced | Deceptive Negative) = 3.89749585891e-05
P( nasal-voiced | Deceptive Positive) = 2.87471971483e-05
P( nasal-voiced | Truthful Negative) = 1.93150870145e-05
P( nasal-voiced | Truthful Positive) = 2.63289539507e-05
P( slid | Deceptive Negative) = 3.89749585891e-05
P( slid | Deceptive Positive) = 2.87471971483e-05
P( slid | Truthful Negative) = 1.93150870145e-05
P( slid | Truthful Positive) = 2.63289539507e-05
P( bent | Deceptive Negative) = 1.94874792946e-05
P( bent | Deceptive Positive) = 2.87471971483e-05
P( bent | Truthful Negative) = 3.86301740289e-05
P( bent | Truthful Positive) = 5.26579079013e-05
P( process | Deceptive Negative) = 0.000155899834356
P( process | Deceptive Positive) = 8.62415914448e-05
P( process | Truthful Negative) = 0.000135205609101
P( process | Truthful Positive) = 5.26579079013e-05
P( lock | Deceptive Negative) = 3.89749585891e-05
P( lock | Deceptive Positive) = 2.87471971483e-05
P( lock | Truthful Negative) = 5.79452610434e-05
P( lock | Truthful Positive) = 2.63289539507e-05
P( we(her | Deceptive Negative) = 3.89749585891e-05
P( we(her | Deceptive Positive) = 2.87471971483e-05
P( we(her | Truthful Negative) = 1.93150870145e-05
P( we(her | Truthful Positive) = 2.63289539507e-05
P( pieces | Deceptive Negative) = 3.89749585891e-05
P( pieces | Deceptive Positive) = 2.87471971483e-05
P( pieces | Truthful Negative) = 3.86301740289e-05
P( pieces | Truthful Positive) = 2.63289539507e-05
P( high | Deceptive Negative) = 0.000565136899542
P( high | Deceptive Positive) = 0.000517449548669
P( high | Truthful Negative) = 0.000386301740289
P( high | Truthful Positive) = 0.000473921171112
P( bend | Deceptive Negative) = 1.94874792946e-05
P( bend | Deceptive Positive) = 2.87471971483e-05
P( bend | Truthful Negative) = 3.86301740289e-05
P( bend | Truthful Positive) = 2.63289539507e-05
P( slip | Deceptive Negative) = 1.94874792946e-05
P( slip | Deceptive Positive) = 2.87471971483e-05
P( slip | Truthful Negative) = 3.86301740289e-05
P( slip | Truthful Positive) = 2.63289539507e-05
P( wireless--an | Deceptive Negative) = 3.89749585891e-05
P( wireless--an | Deceptive Positive) = 2.87471971483e-05
P( wireless--an | Truthful Negative) = 1.93150870145e-05
P( wireless--an | Truthful Positive) = 2.63289539507e-05
P( docking | Deceptive Negative) = 3.89749585891e-05
P( docking | Deceptive Positive) = 0.000143735985741
P( docking | Truthful Negative) = 1.93150870145e-05
P( docking | Truthful Positive) = 2.63289539507e-05
P( plain-as-day | Deceptive Negative) = 1.94874792946e-05
P( plain-as-day | Deceptive Positive) = 2.87471971483e-05
P( plain-as-day | Truthful Negative) = 1.93150870145e-05
P( plain-as-day | Truthful Positive) = 5.26579079013e-05
P( hongkong | Deceptive Negative) = 1.94874792946e-05
P( hongkong | Deceptive Positive) = 2.87471971483e-05
P( hongkong | Truthful Negative) = 3.86301740289e-05
P( hongkong | Truthful Positive) = 2.63289539507e-05
P( wares | Deceptive Negative) = 1.94874792946e-05
P( wares | Deceptive Positive) = 2.87471971483e-05
P( wares | Truthful Negative) = 3.86301740289e-05
P( wares | Truthful Positive) = 2.63289539507e-05
P( struggling | Deceptive Negative) = 1.94874792946e-05
P( struggling | Deceptive Positive) = 2.87471971483e-05
P( struggling | Truthful Negative) = 3.86301740289e-05
P( struggling | Truthful Positive) = 2.63289539507e-05
P( delay | Deceptive Negative) = 5.84624378837e-05
P( delay | Deceptive Positive) = 2.87471971483e-05
P( delay | Truthful Negative) = 1.93150870145e-05
P( delay | Truthful Positive) = 2.63289539507e-05
P( mumbles | Deceptive Negative) = 3.89749585891e-05
P( mumbles | Deceptive Positive) = 2.87471971483e-05
P( mumbles | Truthful Negative) = 1.93150870145e-05
P( mumbles | Truthful Positive) = 2.63289539507e-05
P( comedy | Deceptive Negative) = 1.94874792946e-05
P( comedy | Deceptive Positive) = 2.87471971483e-05
P( comedy | Truthful Negative) = 3.86301740289e-05
P( comedy | Truthful Positive) = 2.63289539507e-05
P( establishment | Deceptive Negative) = 0.000155899834356
P( establishment | Deceptive Positive) = 5.74943942966e-05
P( establishment | Truthful Negative) = 7.72603480579e-05
P( establishment | Truthful Positive) = 2.63289539507e-05
P( puckered | Deceptive Negative) = 3.89749585891e-05
P( puckered | Deceptive Positive) = 2.87471971483e-05
P( puckered | Truthful Negative) = 1.93150870145e-05
P( puckered | Truthful Positive) = 2.63289539507e-05
P( luster | Deceptive Negative) = 3.89749585891e-05
P( luster | Deceptive Positive) = 2.87471971483e-05
P( luster | Truthful Negative) = 1.93150870145e-05
P( luster | Truthful Positive) = 2.63289539507e-05
P( blocks | Deceptive Negative) = 1.94874792946e-05
P( blocks | Deceptive Positive) = 0.000114988788593
P( blocks | Truthful Negative) = 0.00017383578313
P( blocks | Truthful Positive) = 0.000921513388273
P( wallpaper | Deceptive Negative) = 3.89749585891e-05
P( wallpaper | Deceptive Positive) = 2.87471971483e-05
P( wallpaper | Truthful Negative) = 0.000135205609101
P( wallpaper | Truthful Positive) = 2.63289539507e-05
P( tied | Deceptive Negative) = 1.94874792946e-05
P( tied | Deceptive Positive) = 2.87471971483e-05
P( tied | Truthful Negative) = 3.86301740289e-05
P( tied | Truthful Positive) = 5.26579079013e-05
P( tier | Deceptive Negative) = 1.94874792946e-05
P( tier | Deceptive Positive) = 2.87471971483e-05
P( tier | Truthful Negative) = 3.86301740289e-05
P( tier | Truthful Positive) = 2.63289539507e-05
P( appetizer | Deceptive Negative) = 1.94874792946e-05
P( appetizer | Deceptive Positive) = 2.87471971483e-05
P( appetizer | Truthful Negative) = 1.93150870145e-05
P( appetizer | Truthful Positive) = 5.26579079013e-05
P( efficiently | Deceptive Negative) = 1.94874792946e-05
P( efficiently | Deceptive Positive) = 5.74943942966e-05
P( efficiently | Truthful Negative) = 1.93150870145e-05
P( efficiently | Truthful Positive) = 5.26579079013e-05
P( tomato | Deceptive Negative) = 3.89749585891e-05
P( tomato | Deceptive Positive) = 2.87471971483e-05
P( tomato | Truthful Negative) = 1.93150870145e-05
P( tomato | Truthful Positive) = 5.26579079013e-05
P( realized | Deceptive Negative) = 7.79499171782e-05
P( realized | Deceptive Positive) = 8.62415914448e-05
P( realized | Truthful Negative) = 0.000135205609101
P( realized | Truthful Positive) = 2.63289539507e-05
P( counter | Deceptive Negative) = 0.000311799668713
P( counter | Deceptive Positive) = 8.62415914448e-05
P( counter | Truthful Negative) = 3.86301740289e-05
P( counter | Truthful Positive) = 2.63289539507e-05
P( element | Deceptive Negative) = 1.94874792946e-05
P( element | Deceptive Positive) = 2.87471971483e-05
P( element | Truthful Negative) = 1.93150870145e-05
P( element | Truthful Positive) = 5.26579079013e-05
P( allow | Deceptive Negative) = 0.000116924875767
P( allow | Deceptive Positive) = 8.62415914448e-05
P( allow | Truthful Negative) = 7.72603480579e-05
P( allow | Truthful Positive) = 2.63289539507e-05
P( classy | Deceptive Negative) = 5.84624378837e-05
P( classy | Deceptive Positive) = 0.000287471971483
P( classy | Truthful Negative) = 5.79452610434e-05
P( classy | Truthful Positive) = 0.000105315815803
P( counted | Deceptive Negative) = 3.89749585891e-05
P( counted | Deceptive Positive) = 2.87471971483e-05
P( counted | Truthful Negative) = 3.86301740289e-05
P( counted | Truthful Positive) = 2.63289539507e-05
P( martin | Deceptive Negative) = 1.94874792946e-05
P( martin | Deceptive Positive) = 2.87471971483e-05
P( martin | Truthful Negative) = 3.86301740289e-05
P( martin | Truthful Positive) = 2.63289539507e-05
P( houston | Deceptive Negative) = 1.94874792946e-05
P( houston | Deceptive Positive) = 5.74943942966e-05
P( houston | Truthful Negative) = 1.93150870145e-05
P( houston | Truthful Positive) = 2.63289539507e-05
P( concierge/directory/check | Deceptive Negative) = 1.94874792946e-05
P( concierge/directory/check | Deceptive Positive) = 2.87471971483e-05
P( concierge/directory/check | Truthful Negative) = 1.93150870145e-05
P( concierge/directory/check | Truthful Positive) = 5.26579079013e-05
P( move | Deceptive Negative) = 0.000253337230829
P( move | Deceptive Positive) = 5.74943942966e-05
P( move | Truthful Negative) = 0.000251096131188
P( move | Truthful Positive) = 5.26579079013e-05
P( produced | Deceptive Negative) = 3.89749585891e-05
P( produced | Deceptive Positive) = 5.74943942966e-05
P( produced | Truthful Negative) = 3.86301740289e-05
P( produced | Truthful Positive) = 2.63289539507e-05
P( flopped | Deceptive Negative) = 3.89749585891e-05
P( flopped | Deceptive Positive) = 2.87471971483e-05
P( flopped | Truthful Negative) = 1.93150870145e-05
P( flopped | Truthful Positive) = 2.63289539507e-05
P( mutt | Deceptive Negative) = 3.89749585891e-05
P( mutt | Deceptive Positive) = 2.87471971483e-05
P( mutt | Truthful Negative) = 1.93150870145e-05
P( mutt | Truthful Positive) = 2.63289539507e-05
P( snobbishness | Deceptive Negative) = 1.94874792946e-05
P( snobbishness | Deceptive Positive) = 2.87471971483e-05
P( snobbishness | Truthful Negative) = 3.86301740289e-05
P( snobbishness | Truthful Positive) = 2.63289539507e-05
P( wife's | Deceptive Negative) = 3.89749585891e-05
P( wife's | Deceptive Positive) = 2.87471971483e-05
P( wife's | Truthful Negative) = 1.93150870145e-05
P( wife's | Truthful Positive) = 2.63289539507e-05
P( perfect | Deceptive Negative) = 5.84624378837e-05
P( perfect | Deceptive Positive) = 0.00123612947738
P( perfect | Truthful Negative) = 5.79452610434e-05
P( perfect | Truthful Positive) = 0.00110581606593
P( benjamins | Deceptive Negative) = 1.94874792946e-05
P( benjamins | Deceptive Positive) = 2.87471971483e-05
P( benjamins | Truthful Negative) = 3.86301740289e-05
P( benjamins | Truthful Positive) = 2.63289539507e-05
P( cut-rate | Deceptive Negative) = 3.89749585891e-05
P( cut-rate | Deceptive Positive) = 2.87471971483e-05
P( cut-rate | Truthful Negative) = 1.93150870145e-05
P( cut-rate | Truthful Positive) = 2.63289539507e-05
P( chosen | Deceptive Negative) = 3.89749585891e-05
P( chosen | Deceptive Positive) = 8.62415914448e-05
P( chosen | Truthful Negative) = 0.000135205609101
P( chosen | Truthful Positive) = 5.26579079013e-05
P( dispose | Deceptive Negative) = 1.94874792946e-05
P( dispose | Deceptive Positive) = 2.87471971483e-05
